FileObject(id='file-EFpxdAzGcihxCUTy7QNHXvpS', bytes=823242, created_at=1720429459, filename='sohbetler167732_batch_52500-52999.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-1JvwZipNm6ln9XwhSNX4pzMs', bytes=838493, created_at=1720429461, filename='sohbetler167732_batch_52000-52499.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-KkEzvPIxDZ5xkoMj0nALWJr7', bytes=836242, created_at=1720429462, filename='sohbetler167732_batch_53000-53499.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-0AOuVQQVNlehsW000ySyvuwo', bytes=942142, created_at=1720429463, filename='sohbetler167732_batch_54000-54499.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-qeDeCDeQUiTgj7TU2lk1vr9s', bytes=822262, created_at=1720429464, filename='sohbetler167732_batch_53500-53999.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-Xz4M0IZXPv7q4vD5RiZLDouT', bytes=918428, created_at=1720429465, filename='sohbetler167732_batch_54500-54999.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-iRFBn9EeiJyfr4S5pXjL4Ca5', bytes=917851, created_at=1720429466, filename='sohbetler167732_batch_55500-55999.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-AyJM7V8ucAt5k3NCrGbnHJH3', bytes=927842, created_at=1720429467, filename='sohbetler167732_batch_55000-55499.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-uLyUwauHS2JAnydbu4CDVfp3', bytes=814374, created_at=1720429468, filename='sohbetler167732_batch_57000-57499.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-Q8lYpX9CRv9p2PvJnV3WTC9w', bytes=875948, created_at=1720429469, filename='sohbetler167732_batch_56500-56999.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-XAgbhDXieE1epj8fKDvpYNUO', bytes=876770, created_at=1720429470, filename='sohbetler167732_batch_56000-56499.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-1v1fgnbpa6QIh7UXJ5Yy5cE3', bytes=900968, created_at=1720429471, filename='sohbetler167732_batch_58000-58499.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-DnpFrkz9VUl3VYnyDUCHRo5T', bytes=858861, created_at=1720429472, filename='sohbetler167732_batch_57500-57999.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-oO3u2PDmi4LhWC59s5hjLNjs', bytes=1032420, created_at=1720429473, filename='sohbetler167732_batch_59500-59999.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-sFpZGLfgByna0HqrfzoUqynk', bytes=1062567, created_at=1720429474, filename='sohbetler167732_batch_59000-59499.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-tpmOzqkrAB4OO2ovzrBHlu3X', bytes=957811, created_at=1720429475, filename='sohbetler167732_batch_58500-58999.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-jXNwDg9aV8Mzl4XG5poCDf7j', bytes=1029983, created_at=1720429476, filename='sohbetler167732_batch_60000-60499.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-XIc0q3SmTcVQG2rjAN3j9uuA', bytes=1016897, created_at=1720429478, filename='sohbetler167732_batch_60500-60999.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-biPoI4hbvhUumSucUFwn44Q0', bytes=949754, created_at=1720429479, filename='sohbetler167732_batch_62000-62499.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-cpnwJvFuQxBKS9rnNVCzyvmZ', bytes=989751, created_at=1720429482, filename='sohbetler167732_batch_61500-61999.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-9JCPrxmZJvOvkVAciYs14Pst', bytes=1037402, created_at=1720429483, filename='sohbetler167732_batch_61000-61499.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-tYW9NlhsfOOcreVvqU8Nr2WT', bytes=939818, created_at=1720429484, filename='sohbetler167732_batch_63000-63499.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-QJzQJOHJQ59yIAIzVXKXBFcY', bytes=916757, created_at=1720429486, filename='sohbetler167732_batch_62500-62999.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-mrLXzHParvy5uWWospSHOpKN', bytes=833954, created_at=1720429487, filename='sohbetler167732_batch_64500-64999.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-awtHz0ShqDG78p8xWBwIYuMp', bytes=837746, created_at=1720429488, filename='sohbetler167732_batch_64000-64499.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-Zawfw8iYQSpdmO6m1LBa8wmv', bytes=874972, created_at=1720429489, filename='sohbetler167732_batch_63500-63999.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-x4xfgc8mzqkBvhptRM1qS4et', bytes=803157, created_at=1720429490, filename='sohbetler167732_batch_65000-65499.jsonl', object='file', purpose='batch', status='processed', status_details=None)
